Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
08/06/14,walking,walking,2014-06-08T10:58:30+01:00,2014-06-08T11:17:42+01:00,1152,1.040,2033,123
08/06/14,walking,walking,2014-06-08T11:20:42+01:00,2014-06-08T11:25:16+01:00,274,0.196,419,23
08/06/14,walking,walking,2014-06-08T11:25:27+01:00,2014-06-08T11:25:35+01:00,8,0.003,10,0
08/06/14,walking,walking,2014-06-08T11:31:02+01:00,2014-06-08T11:50:25+01:00,1163,1.010,1937,120
08/06/14,walking,walking,2014-06-08T11:53:55+01:00,2014-06-08T11:58:52+01:00,297,0.237,509,28
08/06/14,walking,walking,2014-06-08T12:28:04+01:00,2014-06-08T12:28:27+01:00,23,0.009,30,1
08/06/14,walking,walking,2014-06-08T14:53:02+01:00,2014-06-08T14:53:19+01:00,17,0.007,23,1
08/06/14,transport,transport,2014-06-08T14:56:33+01:00,2014-06-08T15:53:04+01:00,3391,21.360,0,0
08/06/14,transport,transport,2014-06-08T16:54:17+01:00,2014-06-08T16:59:05+01:00,288,0.571,0,0
08/06/14,transport,transport,2014-06-08T17:27:41+01:00,2014-06-08T17:40:52+01:00,791,4.274,0,0
08/06/14,transport,transport,2014-06-08T18:55:26+01:00,2014-06-08T19:35:04+01:00,2378,22.478,0,0
08/06/14,walking,walking,2014-06-08T19:35:03+01:00,2014-06-08T19:37:03+01:00,120,0.055,177,7
08/06/14,walking,walking,2014-06-08T20:03:53+01:00,2014-06-08T20:04:01+01:00,8,0.003,10,0
10/06/14,walking,walking,2014-06-10T07:23:36+01:00,2014-06-10T07:25:21+01:00,105,0.091,162,11
10/06/14,walking,walking,2014-06-10T07:25:22+01:00,2014-06-10T07:26:49+01:00,87,0.036,116,4
10/06/14,transport,transport,2014-06-10T07:32:38+01:00,2014-06-10T07:38:22+01:00,344,0.697,0,0
10/06/14,walking,walking,2014-06-10T07:38:21+01:00,2014-06-10T07:44:51+01:00,390,0.190,611,23
10/06/14,transport,transport,2014-06-10T07:44:52+01:00,2014-06-10T08:09:00+01:00,1448,11.793,0,0
10/06/14,walking,walking,2014-06-10T08:08:59+01:00,2014-06-10T08:11:29+01:00,150,0.086,278,10
10/06/14,transport,transport,2014-06-10T08:11:29+01:00,2014-06-10T08:22:59+01:00,690,2.689,0,0
10/06/14,walking,walking,2014-06-10T08:23:00+01:00,2014-06-10T08:34:06+01:00,666,0.431,1139,51
10/06/14,walking,walking,2014-06-10T09:29:26+01:00,2014-06-10T09:31:09+01:00,103,0.065,209,8
10/06/14,walking,walking,2014-06-10T09:32:02+01:00,2014-06-10T09:35:13+01:00,191,0.176,326,21
10/06/14,transport,transport,2014-06-10T09:35:14+01:00,2014-06-10T09:40:14+01:00,300,1.222,0,0
10/06/14,walking,walking,2014-06-10T09:40:14+01:00,2014-06-10T09:44:32+01:00,258,0.262,617,31
10/06/14,walking,walking,2014-06-10T09:45:26+01:00,2014-06-10T09:46:57+01:00,91,0.062,200,7
10/06/14,walking,walking,2014-06-10T10:23:13+01:00,2014-06-10T10:23:17+01:00,4,0.002,5,0
10/06/14,walking,walking,2014-06-10T12:11:14+01:00,2014-06-10T12:16:20+01:00,306,0.216,464,26
10/06/14,walking,walking,2014-06-10T12:24:19+01:00,2014-06-10T12:44:19+01:00,1200,0.690,1654,82
10/06/14,walking,walking,2014-06-10T12:46:24+01:00,2014-06-10T12:46:52+01:00,28,0.012,38,1
10/06/14,walking,walking,2014-06-10T12:50:58+01:00,2014-06-10T13:06:27+01:00,929,0.395,1041,47
10/06/14,walking,walking,2014-06-10T13:09:23+01:00,2014-06-10T13:10:15+01:00,52,0.024,76,3
10/06/14,walking,walking,2014-06-10T13:10:24+01:00,2014-06-10T13:24:34+01:00,850,0.374,816,44
10/06/14,walking,walking,2014-06-10T13:24:34+01:00,2014-06-10T13:28:31+01:00,237,0.173,371,21
10/06/14,walking,walking,2014-06-10T13:36:45+01:00,2014-06-10T13:48:26+01:00,701,0.471,969,56
10/06/14,walking,walking,2014-06-10T13:48:33+01:00,2014-06-10T13:53:13+01:00,280,0.195,419,23
10/06/14,walking,walking,2014-06-10T14:01:03+01:00,2014-06-10T14:01:15+01:00,12,0.005,16,1
10/06/14,walking,walking,2014-06-10T16:19:51+01:00,2014-06-10T16:21:02+01:00,71,0.030,95,4
10/06/14,walking,walking,2014-06-10T16:23:10+01:00,2014-06-10T16:38:32+01:00,922,0.867,1493,103
10/06/14,walking,walking,2014-06-10T16:38:42+01:00,2014-06-10T16:39:23+01:00,41,0.017,55,2
10/06/14,walking,walking,2014-06-10T17:56:44+01:00,2014-06-10T17:56:57+01:00,13,0.006,17,1
10/06/14,walking,walking,2014-06-10T17:56:57+01:00,2014-06-10T18:03:06+01:00,369,0.235,598,28
10/06/14,transport,transport,2014-06-10T18:07:52+01:00,2014-06-10T18:12:31+01:00,279,1.033,0,0
10/06/14,walking,walking,2014-06-10T18:12:31+01:00,2014-06-10T18:16:43+01:00,252,0.079,254,9
10/06/14,walking,walking,2014-06-10T18:16:57+01:00,2014-06-10T18:20:31+01:00,214,0.145,310,17
